# cl_TT                  cl_TE                    cl_EE
1.897043223474543311e+03 -2.038726275215494610e+01 4.679160549527650037e-01
1.907201159452890579e+03 -2.024438918983256386e+01 4.621690166174182157e-01
1.917199371423063212e+03 -2.008967297389250817e+01 4.562913794488133168e-01
1.927022254895661035e+03 -1.992310484088728373e+01 4.502928258872695433e-01
1.936669248876377878e+03 -1.974478705519599586e+01 4.441878789134160455e-01
1.946140284584999335e+03 -1.955485917737908608e+01 4.379947897568830517e-01
1.955427048430067543e+03 -1.935332172031391096e+01 4.317240488453449876e-01
1.964523162360764900e+03 -1.914026251466330208e+01 4.253953479787880299e-01
1.973424690486757754e+03 -1.891578222076318738e+01 4.190183627182468840e-01
1.982133074664800461e+03 -1.867997921780083814e+01 4.126087419116006294e-01
1.990641282279766529e+03 -1.843289311693973431e+01 4.061779649849854290e-01
1.998947719743953257e+03 -1.817448003820281599e+01 3.997313542813417109e-01
2.007053174213458988e+03 -1.790470933939904441e+01 3.932692028152320329e-01
2.014949701695147269e+03 -1.762363769500810307e+01 3.867991314629775079e-01
2.022637665764508483e+03 -1.733112511677736833e+01 3.803348640508121825e-01
2.030110872411067930e+03 -1.702728288707312743e+01 3.738781119958189403e-01
2.037370989810666742e+03 -1.671211306335020552e+01 3.674327486428359824e-01
2.044417178735266816e+03 -1.638573443071106084e+01 3.610135822240502779e-01
2.051239868617490629e+03 -1.604817857363646993e+01 3.546293131668561971e-01
2.057842684227350219e+03 -1.569959479355051535e+01 3.482898564151285514e-01
2.064208741275447210e+03 -1.533945043294008315e+01 3.420171658614153398e-01
2.070333309827173252e+03 -1.496799579256141755e+01 3.358187962536804405e-01
2.076224000574601632e+03 -1.458582776198238129e+01 3.296970362629184081e-01
2.081891487508703904e+03 -1.419325016434408049e+01 3.236639144354674924e-01
2.087327798788097880e+03 -1.379039545543272105e+01 3.177314576768566212e-01
2.092538754850097121e+03 -1.337756625148630363e+01 3.119120583826592297e-01
2.097530176236282841e+03 -1.295495537343347969e+01 3.062189889886850480e-01
2.102300421127864411e+03 -1.252279320255129491e+01 3.006642713655459098e-01
2.106844159000672335e+03 -1.208133532633636698e+01 2.952599256644030667e-01
2.111171465525477743e+03 -1.163087953213261549e+01 2.900189120554093614e-01
2.115274814409641749e+03 -1.117168617966613198e+01 2.849547294458301683e-01
2.119144038271236695e+03 -1.070407311343171841e+01 2.800801508767424841e-01
2.122776206751617792e+03 -1.022829208545230095e+01 2.754084588972869896e-01
2.126162184371725743e+03 -9.744664386432258851e+00 2.709538927372263650e-01
2.129292268724826499e+03 -9.253193630225187150e+00 2.667339050623867003e-01
2.132158512862084081e+03 -8.753794547470242549e+00 2.627676906474713525e-01
2.134748455175013532e+03 -8.246547768683159418e+00 2.590743517602158152e-01
2.137081350067251151e+03 -7.731571759105539066e+00 2.556718169687877684e-01
2.139153318868310635e+03 -7.208979239031391373e+00 2.525795684766978244e-01
2.140965672386043934e+03 -6.678882229088784150e+00 2.498171468858896571e-01
2.142532469108185069e+03 -6.141402417059456553e+00 2.474018728431860159e-01
