# cl_TT                  cl_TE                    cl_EE
9.510927812108498074e+02 3.203798976488302941e+01 9.212796741114313903e+00
9.410972248065822896e+02 3.111583745489294373e+01 9.246118630762325097e+00
9.313631281152712518e+02 3.018834954775939394e+01 9.277659049137529479e+00
9.218858038160607293e+02 2.925576158107931590e+01 9.307361977593462399e+00
9.126693982416737754e+02 2.831850305602930717e+01 9.335171395106796055e+00
9.037213050901319775e+02 2.737688011024476253e+01 9.361094011514760282e+00
8.950297481452207649e+02 2.643121751836730482e+01 9.385087690355486956e+00
8.866048149353146073e+02 2.548191893519161866e+01 9.407096401402828434e+00
8.784484334478935352e+02 2.452933440801419707e+01 9.427130354925152389e+00
8.705534814999772379e+02 2.357373493717150126e+01 9.445211307029767411e+00
8.629255171349858529e+02 2.261551823086630719e+01 9.461155255383943086e+00
8.555649660608913791e+02 2.165510033524927280e+01 9.475169093864392877e+00
8.484643587994225982e+02 2.069296814134076001e+01 9.487153321296373676e+00
8.416227497421884891e+02 1.972947113905260963e+01 9.497118276598595088e+00
8.350470909449878718e+02 1.876516713858040220e+01 9.505158956226473776e+00
8.287382433394653845e+02 1.780040278024980438e+01 9.511218089776885876e+00
8.226859533960571298e+02 1.683567389065558828e+01 9.515344475807882674e+00
8.168911708250880110e+02 1.587141742291232305e+01 9.517538476353434973e+00
