# cl_TT                  cl_TE                    cl_EE
5.976944917645272653e+03 1.537559616404603524e+01 1.665920325207599584e+00
5.947419986894158683e+03 1.720575938271693062e+01 1.692516424039798517e+00
5.917404200378116911e+03 1.902138061787480794e+01 1.720976190681670959e+00
5.886891041294416937e+03 2.082198831339427869e+01 1.751366818435377004e+00
5.855874410951103528e+03 2.260334702557339526e+01 1.783827441216529586e+00
5.824412583223220281e+03 2.436810650401652012e+01 1.818163918118060884e+00
5.792507940841881464e+03 2.611445620870976825e+01 1.854374835029656943e+00
5.760173747146193818e+03 2.784205381192351680e+01 1.892451558083001251e+00
5.727429562781147979e+03 2.955045936472718893e+01 1.932377496385299098e+00
5.694283953991982344e+03 3.123868172236143792e+01 1.974152681170091794e+00
5.660748878368910482e+03 3.290601988775059539e+01 2.017761223943050020e+00
5.626843671026615993e+03 3.455140263073042206e+01 2.063194232558390073e+00
5.592549192732204574e+03 3.617093651553911826e+01 2.110608952899505120e+00
5.557899339160621821e+03 3.776640586178507419e+01 2.159865919761639219e+00
5.522915258515438836e+03 3.933838092553592247e+01 2.210896158251383081e+00
5.487616084187281558e+03 4.088546733635234887e+01 2.263673424649182309e+00
5.452004786504767253e+03 4.240727369877863850e+01 2.318186240517436936e+00
5.416100266972912323e+03 4.390322401064473468e+01 2.374410906431236423e+00
5.379919422260267311e+03 4.537262654494913505e+01 2.432340971861642220e+00
5.343463992165637137e+03 4.681507034537580836e+01 2.491876090578601488e+00
5.306742127042969514e+03 4.822890492907947646e+01 2.553140557365480845e+00
5.269766048935312028e+03 4.961098306769648758e+01 2.616135329965582290e+00
5.232551173060754081e+03 5.096459377235338195e+01 2.680628768753552826e+00
5.195109911582634595e+03 5.228838856209912223e+01 2.746667749532561764e+00
5.157451705118318387e+03 5.358144592390743810e+01 2.814161333364063822e+00
5.119595321646742377e+03 5.484425506607900758e+01 2.883097452587857212e+00
5.081548664937246031e+03 5.607621012743213385e+01 2.953410641250659996e+00
5.043326509745582371e+03 5.727687178029066217e+01 3.025164525471832455e+00
