# cl_TT                  cl_TE                    cl_EE
2.257923313074086309e+03 -2.240162637945404001e+01 5.579914901280078610e-01
2.277074595902694909e+03 -2.265007493876400702e+01 5.610246460207920505e-01
2.296216657381000459e+03 -2.289086867991404262e+01 5.638534396619024891e-01
2.315334381614373342e+03 -2.312379772601469696e+01 5.664615860672247427e-01
2.334434937696778434e+03 -2.334850365157310392e+01 5.688625141786104455e-01
2.353510637966293416e+03 -2.356492518316613882e+01 5.710325116838652626e-01
2.372568651415137992e+03 -2.377262964753040819e+01 5.729775801392505974e-01
2.391601290299914126e+03 -2.397140723915196858e+01 5.746888648362311613e-01
2.410608295205758623e+03 -2.416112245279144943e+01 5.761723681688791787e-01
2.429581978361305573e+03 -2.434156551597310170e+01 5.774192361975774013e-01
2.448536937057113846e+03 -2.451252667194894030e+01 5.784280436629113398e-01
2.467458055213171519e+03 -2.467387046263464612e+01 5.792122222975003565e-01
2.486345073501335264e+03 -2.482531287751130833e+01 5.797554906847706135e-01
2.505205161017539922e+03 -2.496679277052752965e+01 5.800638526700185871e-01
2.524023201904599773e+03 -2.509810044196145640e+01 5.801433122676097343e-01
2.542806365478635598e+03 -2.521895192128730656e+01 5.799850169179190384e-01
2.561532107803214330e+03 -2.532936038404621115e+01 5.796023991952137244e-01
2.580200170167674059e+03 -2.542896759968115816e+01 5.790014633627951213e-01
2.598802865713207666e+03 -2.551771248242065226e+01 5.781807853288505328e-01
2.617332507810429888e+03 -2.559538538963347420e+01 5.771463693026940289e-01
2.635781410086722644e+03 -2.566177668821637070e+01 5.759042194002831350e-01
2.654133765950125962e+03 -2.571679163687429082e+01 5.744588950089759560e-01
2.672400713908340549e+03 -2.576020076616215349e+01 5.728091769703934633e-01
2.690570415601786408e+03 -2.579174093030793813e+01 5.709598296611322343e-01
2.708645889732786600e+03 -2.581129755782011514e+01 5.689156171912159721e-01
2.726622727038618450e+03 -2.581853323348563123e+01 5.666664466620872087e-01
2.744511375364666037e+03 -2.581333339893149770e+01 5.642245098773406298e-01
2.762292569583716158e+03 -2.579543493469789084e+01 5.615797132018064408e-01
2.779976758416954453e+03 -2.576464901037255473e+01 5.587516759751067763e-01
2.797552105999225205e+03 -2.572078680075857093e+01 5.557303036728986623e-01
2.815014205294899966e+03 -2.566373376909189474e+01 5.525277863232507247e-01
2.832343793059686050e+03 -2.559322681629486596e+01 5.491488850718034831e-01
2.849536463251786699e+03 -2.550922569829619491e+01 5.455983604998314584e-01
2.866587810339005046e+03 -2.541139304136755328e+01 5.418958292941151722e-01
2.883478572603256907e+03 -2.529976289354640073e+01 5.380311941165194511e-01
